repo,number,state,created_at,merged_at,closed_at,additions,deletions,changed_files,description_length,comments,reviews,time_to_merge,time_to_close
freeCodeCamp/freeCodeCamp,16110,MERGED,2017-11-21T21:01:20Z,2017-11-25T19:48:59Z,2017-11-25T19:48:59Z,21,3,1,1636,3,1,94.79416666666667,94.79416666666667
freeCodeCamp/freeCodeCamp,16120,MERGED,2017-11-25T22:42:11Z,2017-11-27T05:54:50Z,2017-11-27T05:54:50Z,15,47,1,1078,0,1,31.210833333333333,31.210833333333333
freeCodeCamp/freeCodeCamp,16132,MERGED,2017-11-29T11:42:05Z,2017-11-29T16:53:22Z,2017-11-29T16:53:22Z,5,0,1,2145,2,1,5.188055555555556,5.188055555555556
freeCodeCamp/freeCodeCamp,16138,CLOSED,2017-12-02T06:37:52Z,,2017-12-15T22:15:35Z,5183,205,11,6715,114,1,,327.6286111111111
freeCodeCamp/freeCodeCamp,16139,MERGED,2017-12-02T15:22:52Z,2017-12-09T06:45:33Z,2017-12-09T06:45:34Z,10,13,1,2132,1,1,159.37805555555556,159.37805555555556
freeCodeCamp/freeCodeCamp,16143,MERGED,2017-12-03T21:23:17Z,2017-12-05T06:18:52Z,2017-12-05T06:18:52Z,79,60,6,17,4,1,32.92638888888889,32.92638888888889
freeCodeCamp/freeCodeCamp,16152,MERGED,2017-12-06T17:15:15Z,2017-12-06T18:43:32Z,2017-12-06T18:43:33Z,15,9,6,43,3,2,1.4713888888888889,1.4713888888888889
freeCodeCamp/freeCodeCamp,16162,MERGED,2017-12-08T21:53:46Z,2017-12-09T06:10:40Z,2017-12-09T06:10:40Z,1,0,1,2020,0,1,8.281666666666666,8.281666666666666
freeCodeCamp/freeCodeCamp,16169,MERGED,2017-12-09T14:27:36Z,2017-12-09T15:34:02Z,2017-12-09T15:34:02Z,1,1,1,2094,4,2,1.1072222222222223,1.1072222222222223
freeCodeCamp/freeCodeCamp,16170,MERGED,2017-12-09T22:27:53Z,2017-12-10T17:23:04Z,2017-12-10T17:23:04Z,14,9,4,2134,13,1,18.919722222222223,18.919722222222223
freeCodeCamp/freeCodeCamp,16171,MERGED,2017-12-10T00:56:17Z,2017-12-10T06:25:24Z,2017-12-10T06:25:25Z,1,1,1,2099,0,1,5.485277777777778,5.485277777777778
freeCodeCamp/freeCodeCamp,16172,MERGED,2017-12-10T14:29:25Z,2017-12-10T19:01:56Z,2017-12-10T19:01:56Z,6,8,1,1924,0,1,4.541944444444445,4.541944444444445
freeCodeCamp/freeCodeCamp,16173,MERGED,2017-12-10T15:44:42Z,2017-12-11T20:37:40Z,2017-12-11T20:37:40Z,1,1,1,2237,1,2,28.88277777777778,28.88277777777778
freeCodeCamp/freeCodeCamp,16176,MERGED,2017-12-10T22:09:08Z,2017-12-11T04:15:58Z,2017-12-11T04:15:58Z,1,1,1,2094,6,1,6.113888888888889,6.113888888888889
freeCodeCamp/freeCodeCamp,16180,CLOSED,2017-12-11T16:14:38Z,,2017-12-11T19:15:25Z,6,6,1,1319,4,1,,3.0130555555555554
freeCodeCamp/freeCodeCamp,16185,MERGED,2017-12-12T02:20:01Z,2017-12-21T01:15:24Z,2017-12-21T01:15:24Z,603,253,29,13,7,2,214.92305555555555,214.92305555555555
freeCodeCamp/freeCodeCamp,16186,CLOSED,2017-12-12T21:48:22Z,,2018-01-05T17:00:41Z,2210,436,30,14,9,10,,571.2052777777777
freeCodeCamp/freeCodeCamp,16189,MERGED,2017-12-14T01:39:57Z,2017-12-15T21:53:33Z,2017-12-15T21:53:33Z,78,121,21,13,3,3,44.22666666666667,44.22666666666667
freeCodeCamp/freeCodeCamp,16197,MERGED,2017-12-15T13:55:52Z,2017-12-21T16:35:03Z,2017-12-21T16:35:03Z,2,1,1,1629,3,2,146.65305555555557,146.65305555555557
freeCodeCamp/freeCodeCamp,16199,MERGED,2017-12-15T21:24:09Z,2017-12-20T19:09:32Z,2017-12-20T19:09:32Z,400,526,4,1926,1,1,117.75638888888889,117.75638888888889
freeCodeCamp/freeCodeCamp,16201,MERGED,2017-12-16T00:01:32Z,2017-12-21T20:38:29Z,2017-12-21T20:38:29Z,144,130,1,2147,10,3,140.61583333333334,140.61583333333334
freeCodeCamp/freeCodeCamp,16202,MERGED,2017-12-16T00:08:43Z,2017-12-16T14:41:04Z,2017-12-16T14:41:04Z,15,2,3,2232,2,4,14.539166666666667,14.539166666666667
freeCodeCamp/freeCodeCamp,16205,CLOSED,2017-12-16T14:10:49Z,,2017-12-24T09:38:57Z,284,109,9,2537,15,16,,187.4688888888889
freeCodeCamp/freeCodeCamp,16215,MERGED,2017-12-18T22:50:55Z,2017-12-19T17:41:09Z,2017-12-19T17:41:09Z,5,5,2,14,2,1,18.837222222222223,18.837222222222223
freeCodeCamp/freeCodeCamp,16217,MERGED,2017-12-19T06:05:14Z,2017-12-21T17:22:23Z,2017-12-21T17:22:23Z,36,43,3,3527,5,6,59.285833333333336,59.285833333333336
freeCodeCamp/freeCodeCamp,16218,MERGED,2017-12-19T14:20:17Z,2017-12-20T16:48:17Z,2017-12-20T16:48:17Z,24,5,4,2227,7,2,26.466666666666665,26.466666666666665
freeCodeCamp/freeCodeCamp,16221,MERGED,2017-12-19T21:00:17Z,2017-12-23T09:53:12Z,2017-12-23T09:53:12Z,8,0,1,113,1,1,84.88194444444444,84.88194444444444
freeCodeCamp/freeCodeCamp,16223,MERGED,2017-12-20T00:10:04Z,2017-12-20T19:49:42Z,2017-12-20T19:49:42Z,2,1,1,2080,0,1,19.660555555555554,19.660555555555554
freeCodeCamp/freeCodeCamp,16225,MERGED,2017-12-20T10:58:39Z,2017-12-21T16:33:17Z,2017-12-21T16:33:17Z,13,2,1,2083,2,8,29.577222222222222,29.577222222222222
freeCodeCamp/freeCodeCamp,16251,MERGED,2017-12-21T18:48:49Z,2017-12-22T11:47:15Z,2017-12-22T11:47:16Z,15,0,1,2056,13,3,16.97388888888889,16.97388888888889
freeCodeCamp/freeCodeCamp,16263,MERGED,2017-12-22T11:07:53Z,2017-12-22T19:51:21Z,2017-12-22T19:51:22Z,15,1,1,2343,4,3,8.724444444444444,8.724444444444444
freeCodeCamp/freeCodeCamp,16313,MERGED,2017-12-24T09:37:33Z,2017-12-30T00:09:22Z,2017-12-30T00:09:22Z,292,126,9,81,2,1,134.53027777777777,134.53027777777777
freeCodeCamp/freeCodeCamp,16320,CLOSED,2017-12-24T21:56:01Z,,2018-01-08T15:36:15Z,3,0,1,2072,11,3,,353.67055555555555
freeCodeCamp/freeCodeCamp,16324,MERGED,2017-12-25T18:41:36Z,2018-01-15T16:38:37Z,2018-01-15T16:38:37Z,1,1,1,2281,6,2,501.9502777777778,501.9502777777778
freeCodeCamp/freeCodeCamp,16330,MERGED,2017-12-27T00:09:47Z,2018-01-02T18:08:02Z,2018-01-02T18:08:02Z,820,650,23,331,27,3,161.97083333333333,161.97083333333333
freeCodeCamp/freeCodeCamp,16340,MERGED,2017-12-27T17:04:09Z,2018-01-01T20:45:29Z,2018-01-01T20:45:29Z,67,39,1,1949,2,2,123.68888888888888,123.68888888888888
freeCodeCamp/freeCodeCamp,16341,MERGED,2017-12-27T17:04:13Z,2018-01-16T05:55:20Z,2018-01-16T05:55:21Z,2,2,1,2321,3,2,468.8519444444444,468.8519444444444
